DATE,T10YFFM
1954-07-01,1.32000000000000000000
1954-10-01,1.4866666666666667
1955-01-01,1.30333333333333333333
1955-04-01,1.26333333333333333333
1955-07-01,1.00666666666666666667
1955-10-01,0.55333333333333333333
1956-01-01,0.41666666666666666667
1956-04-01,0.39000000000000000000
1956-07-01,0.46333333333333333333
1956-10-01,0.54666666666666666667
1957-01-01,0.47000000000000000000
1957-04-01,0.62666666666666666667
1957-07-01,0.69333333333333333333
1957-10-01,0.38000000000000000000
1958-01-01,1.17666666666666666667
1958-04-01,1.9833333333333333
1958-07-01,2.1766666666666667
1958-10-01,1.6366666666666667
1959-01-01,1.4200000000000000
1959-04-01,1.17333333333333333333
1959-07-01,0.92666666666666666667
1959-10-01,0.59333333333333333333
1960-01-01,0.55333333333333333333
1960-04-01,0.56333333333333333333
1960-07-01,0.89666666666666666667
1960-10-01,1.5900000000000000
1961-01-01,1.7833333333333333
1961-04-01,2.0566666666666667
1961-07-01,2.2966666666666667
1961-10-01,1.5733333333333333
1962-01-01,1.5600000000000000
1962-04-01,1.26666666666666666667
1962-07-01,1.14333333333333333333
1962-10-01,0.98000000000000000000
1963-01-01,0.92666666666666666667
1963-04-01,1.00000000000000000000
1963-07-01,0.70333333333333333333
1963-10-01,0.66666666666666666667
1964-01-01,0.71666666666666666667
1964-04-01,0.71000000000000000000
1964-07-01,0.73666666666666666667
1964-10-01,0.59666666666666666667
1965-01-01,0.23000000000000000000
1965-04-01,0.13000000000000000000
1965-07-01,0.17333333333333333333
1965-10-01,0.30666666666666666667
1966-01-01,0.21333333333333333333
1966-04-01,-0.13333333333333333333
1966-07-01,-0.27000000000000000000
1966-10-01,-0.56000000000000000000
1967-01-01,-0.24000000000000000000
1967-04-01,0.83000000000000000000
1967-07-01,1.3533333333333333
1967-10-01,1.4700000000000000
1968-01-01,0.82333333333333333333
1968-04-01,-0.23666666666666666667
1968-07-01,-0.48333333333333333333
1968-10-01,-0.14666666666666666667
1969-01-01,-0.39000000000000000000
1969-04-01,-1.9733333333333333
1969-07-01,-2.1266666666666667
1969-10-01,-1.6433333333333333
1970-01-01,-1.20666666666666666667
1970-04-01,-0.16666666666666666667
1970-07-01,0.75666666666666666667
1970-10-01,1.28666666666666666667
1971-01-01,2.1600000000000000
1971-04-01,1.6833333333333333
1971-07-01,1.01000000000000000000
1971-10-01,1.14000000000000000000
1972-01-01,2.4933333333333333
1972-04-01,1.8433333333333333
1972-07-01,1.5500000000000000
1972-10-01,1.23000000000000000000
1973-01-01,0.06666666666666666667
1973-04-01,-1.01000000000000000000
1973-07-01,-3.3533333333333333
1973-10-01,-3.2433333333333333
1974-01-01,-2.2700000000000000
1974-04-01,-3.7066666666666667
1974-07-01,-4.1266666666666667
1974-10-01,-1.6766666666666667
1975-01-01,1.23666666666666666667
1975-04-01,2.6300000000000000
1975-07-01,2.1366666666666667
1975-10-01,2.6500000000000000
1976-01-01,2.9266666666666667
1976-04-01,2.5766666666666667
1976-07-01,2.4466666666666667
1976-10-01,2.3166666666666667
1977-01-01,2.6933333333333333
1977-04-01,2.2133333333333333
1977-07-01,1.5366666666666667
1977-10-01,1.08333333333333333333
1978-01-01,1.25333333333333333333
1978-04-01,1.03666666666666666667
1978-07-01,0.39000000000000000000
1978-10-01,-0.76333333333333333333
1979-01-01,-0.96666666666666666667
1979-04-01,-1.06666666666666666667
1979-07-01,-1.8433333333333333
1979-10-01,-3.1300000000000000
1980-01-01,-3.0600000000000000
1980-04-01,-2.2100000000000000
1980-07-01,1.11666666666666666667
1980-10-01,-3.4300000000000000
1981-01-01,-3.6100000000000000
1981-04-01,-4.0300000000000000
1981-07-01,-2.7300000000000000
1981-10-01,0.50000000000000000000
1982-01-01,0.06666666666666666667
1982-04-01,-0.58333333333333333333
1982-07-01,2.1100000000000000
1982-10-01,1.3800000000000000
1983-01-01,1.9100000000000000
1983-04-01,1.7400000000000000
1983-07-01,2.1666666666666667
1983-10-01,2.2566666666666667
1984-01-01,2.2566666666666667
1984-04-01,2.6433333333333333
1984-07-01,1.4766666666666667
1984-10-01,2.4766666666666667
1985-01-01,3.1066666666666667
1985-04-01,2.8900000000000000
1985-07-01,2.4366666666666667
1985-10-01,1.6566666666666667
1986-01-01,0.73000000000000000000
1986-04-01,0.68333333333333333333
1986-07-01,1.10000000000000000000
1986-10-01,0.99666666666666666667
1987-01-01,0.97333333333333333333
1987-04-01,1.6933333333333333
1987-07-01,2.0333333333333333
1987-10-01,2.2066666666666667
1988-01-01,1.7533333333333333
1988-04-01,1.7533333333333333
1988-07-01,1.11666666666666666667
1988-10-01,0.48666666666666666667
1989-01-01,-0.23666666666666666667
1989-04-01,-0.95333333333333333333
1989-07-01,-0.97666666666666666667
1989-10-01,-0.70666666666666666667
1990-01-01,0.17333333333333333333
1990-04-01,0.43333333333333333333
1990-07-01,0.54333333333333333333
1990-10-01,0.65333333333333333333
1991-01-01,1.5900000000000000
1991-04-01,2.2666666666666667
1991-07-01,2.2966666666666667
1991-10-01,2.5300000000000000
1992-01-01,3.2800000000000000
1992-04-01,3.6066666666666667
1992-07-01,3.3600000000000000
1992-10-01,3.7066666666666667
1993-01-01,3.2400000000000000
1993-04-01,2.9900000000000000
1993-07-01,2.5566666666666667
1993-10-01,2.6166666666666667
1994-01-01,2.8533333333333333
1994-04-01,3.1433333333333333
1994-07-01,2.8466666666666667
1994-10-01,2.6700000000000000
1995-01-01,1.6733333333333333
1995-04-01,0.60000000000000000000
1995-07-01,0.52666666666666666667
1995-10-01,0.17333333333333333333
1996-01-01,0.54666666666666666667
1996-04-01,1.4766666666666667
1996-07-01,1.4733333333333333
1996-10-01,1.06333333333333333333
1997-01-01,1.28666666666666666667
1997-04-01,1.17333333333333333333
1997-07-01,0.71000000000000000000
1997-10-01,0.40000000000000000000
1998-01-01,0.06666666666666666667
1998-04-01,0.09666666666666666667
1998-07-01,-0.33000000000000000000
1998-10-01,-0.19000000000000000000
1999-01-01,0.25000000000000000000
1999-04-01,0.79333333333333333333
1999-07-01,0.79000000000000000000
1999-10-01,0.83333333333333333333
2000-01-01,0.80333333333333333333
2000-04-01,-0.09666666666666666667
2000-07-01,-0.62666666666666666667
2000-10-01,-0.90666666666666666667
2001-01-01,-0.54333333333333333333
2001-04-01,0.94333333333333333333
2001-07-01,1.4833333333333333
2001-10-01,2.6366666666666667
2002-01-01,3.3433333333333333
2002-04-01,3.3500000000000000
2002-07-01,2.5200000000000000
2002-10-01,2.5633333333333333
2003-01-01,2.6700000000000000
2003-04-01,2.3733333333333333
2003-07-01,3.2166666666666667
2003-10-01,3.2900000000000000
2004-01-01,3.0166666666666667
2004-04-01,3.5900000000000000
2004-07-01,2.8700000000000000
2004-10-01,2.2233333333333333
2005-01-01,1.8266666666666667
2005-04-01,1.21666666666666666667
2005-07-01,0.75333333333333333333
2005-10-01,0.51000000000000000000
2006-01-01,0.11333333333333333333
2006-04-01,0.16333333333333333333
2006-07-01,-0.35000000000000000000
2006-10-01,-0.61666666666666666667
2007-01-01,-0.57666666666666666667
2007-04-01,-0.40333333333333333333
2007-07-01,-0.34333333333333333333
2007-10-01,-0.23666666666666666667
2008-01-01,0.48666666666666666667
2008-04-01,1.8000000000000000
2008-07-01,1.9233333333333333
2008-10-01,2.7466666666666667
2009-01-01,2.5533333333333333
2009-04-01,3.1333333333333333
2009-07-01,3.3600000000000000
2009-10-01,3.3400000000000000
2010-01-01,3.5833333333333333
2010-04-01,3.2966666666666667
2010-07-01,2.6000000000000000
2010-10-01,2.6766666666666667
2011-01-01,3.3033333333333333
2011-04-01,3.1166666666666667
2011-07-01,2.3433333333333333
2011-10-01,1.9733333333333333
2012-01-01,1.9333333333333333
2012-04-01,1.6700000000000000
2012-07-01,1.5000000000000000
2012-10-01,1.5466666666666667
2013-01-01,1.8066666666666667
2013-04-01,1.8800000000000000
2013-07-01,2.6266666666666667
2013-10-01,2.6600000000000000
2014-01-01,2.6900000000000000
2014-04-01,2.5300000000000000
2014-07-01,2.4066666666666667
2014-10-01,2.1800000000000000
2015-01-01,1.8566666666666667
2015-04-01,2.0433333333333333
2015-07-01,2.0833333333333333
2015-10-01,2.0300000000000000
2016-01-01,1.5600000000000000
2016-04-01,1.3800000000000000
2016-07-01,1.16666666666666666667
2016-10-01,1.6800000000000000
2017-01-01,1.7433333333333333
2017-04-01,1.31333333333333333333
2017-07-01,1.09000000000000000000
2017-10-01,1.16666666666666666667
2018-01-01,1.31333333333333333333
2018-04-01,1.18333333333333333333
2018-07-01,1.00333333333333333333
2018-10-01,0.81333333333333333333
2019-01-01,0.25333333333333333333
2019-04-01,-0.06333333333333333333
2019-07-01,-0.39333333333333333333
2019-10-01,0.15000000000000000000
2020-01-01,0.12333333333333333333
2020-04-01,0.62666666666666666667
2020-07-01,0.56000000000000000000
2020-10-01,0.77333333333333333333
2021-01-01,1.23666666666666666667
2021-04-01,1.5200000000000000
2021-07-01,1.23333333333333333333
2021-10-01,1.4533333333333333
2022-01-01,1.8200000000000000
2022-04-01,2.1700000000000000
2022-07-01,0.92000000000000000000
2022-10-01,0.19000000000000000000
2023-01-01,-0.87000000000000000000
2023-04-01,-1.3933333333333333
2023-07-01,-1.11000000000000000000
2023-10-01,-0.89000000000000000000
2024-01-01,-1.17000000000000000000
2024-04-01,.
