dates,GDPC1,CPIAUCSL,FEDFUNDS,M2,BAA10YM,PCEPILFE,PCEPI,UNRATE,T10YFFM
1959-01-01,3123.978,28.99333333,2.57,287.8333333,0.88,16.70266667,16.05566667,5.833333333,1.42
1959-04-01,3194.429,29.04333333,3.083333333,292.1333333,0.696666667,16.79233333,16.12133333,5.1,1.173333333
1959-07-01,3196.683,29.19333333,3.576666667,296.1,0.613333333,16.90433333,16.21866667,5.266666667,0.926666667
1959-10-01,3205.79,29.37,3.99,297.1333333,0.69,17.00133333,16.307,5.6,0.593333333
1960-01-01,3277.847,29.39666667,3.933333333,298.6333333,0.823333333,17.055,16.32833333,5.133333333,0.553333333
1960-04-01,3260.177,29.57333333,3.696666667,301.1,0.986666667,17.11966667,16.41366667,5.233333333,0.563333333
1960-07-01,3276.133,29.59,2.936666667,306.4666667,1.27,17.187,16.475,5.533333333,0.896666667
1960-10-01,3234.087,29.78,2.296666667,310.9333333,1.21,17.243,16.548,6.266666667,1.59
1961-01-01,3255.914,29.84,2.003333333,316.3,1.276666667,17.27233333,16.57866667,6.8,1.783333333
1961-04-01,3311.181,29.83,1.733333333,322.1333333,1.226666667,17.32933333,16.57666667,7,2.056666667
1961-07-01,3374.742,29.94666667,1.683333333,327.5666667,1.126666667,17.40466667,16.63666667,6.766666667,2.296666667
1961-10-01,3440.924,29.99,2.4,333.3333333,1.14,17.447,16.65433333,6.2,1.573333333
1962-01-01,3502.298,30.10666667,2.456666667,340.2333333,1.046666667,17.511,16.72633333,5.633333333,1.56
1962-04-01,3533.947,30.22,2.606666667,347.4333333,1.14,17.57833333,16.78566667,5.533333333,1.266666667
1962-07-01,3577.362,30.30666667,2.846666667,352.8333333,1.056666667,17.63633333,16.83066667,5.566666667,1.143333333
1962-10-01,3589.128,30.38,2.923333333,359.9,1.053333333,17.66933333,16.88233333,5.533333333,0.98
1963-01-01,3628.306,30.47666667,2.966666667,367.9333333,1,17.728,16.93066667,5.766666667,0.926666667
1963-04-01,3669.02,30.53333333,2.963333333,375.9333333,0.89,17.79466667,16.95733333,5.733333333,1
1963-07-01,3749.681,30.72,3.33,383.5666667,0.803333333,17.86333333,17.039,5.5,0.703333333
1963-10-01,3774.264,30.80333333,3.453333333,391,0.72,17.94966667,17.10233333,5.566666667,0.666666667
1964-01-01,3853.835,30.93,3.463333333,397.5333333,0.65,18.02533333,17.183,5.466666667,0.716666667
1964-04-01,3895.793,30.98,3.49,404.3333333,0.65,18.07933333,17.22033333,5.2,0.71
1964-07-01,3956.657,31.05,3.456666667,413.4666667,0.63,18.12966667,17.277,5,0.736666667
1964-10-01,3968.878,31.19333333,3.576666667,421.9333333,0.636666667,18.17533333,17.33433333,4.966666667,0.596666667
1965-01-01,4064.915,31.29,3.976666667,430.3666667,0.583333333,18.244,17.39033333,4.9,0.23
1965-04-01,4116.267,31.49,4.08,437.5333333,0.613333333,18.301,17.478,4.666666667,0.13
1965-07-01,4207.782,31.58333333,4.076666667,446.0666667,0.643333333,18.35766667,17.54333333,4.366666667,0.173333333
1965-10-01,4304.731,31.75,4.166666667,455.8333333,0.493333333,18.41833333,17.59666667,4.1,0.306666667
1966-01-01,4409.518,32.04666667,4.56,464.6,0.396666667,18.511,17.733,3.866666667,0.213333333
1966-04-01,4424.581,32.33666667,4.913333333,470.2,0.71,18.661,17.87766667,3.833333333,-0.133333333
1966-07-01,4462.053,32.61666667,5.41,472.9666667,0.726666667,18.815,18.014,3.766666667,-0.27
1966-10-01,4498.66,32.88333333,5.563333333,477.7333333,1.133333333,18.978,18.15333333,3.7,-0.56
1967-01-01,4538.498,32.96666667,4.823333333,485.4666667,1.296666667,19.08233333,18.20566667,3.833333333,-0.24
1967-04-01,4541.28,33.16666667,3.99,497.1,1.16,19.21,18.29233333,3.833333333,0.83
1967-07-01,4584.246,33.5,3.893333333,510.6,1.083333333,19.38466667,18.46233333,3.8,1.353333333
1967-10-01,4618.812,33.86666667,4.173333333,521.4,1.08,19.58033333,18.621,3.9,1.47
1968-01-01,4713.013,34.2,4.79,530.3333333,1.22,19.803,18.81933333,3.733333333,0.823333333
1968-04-01,4791.758,34.53333333,5.983333333,539.0666667,1.28,20.03366667,19.01166667,3.566666667,-0.236666667
1968-07-01,4828.892,35,5.946666667,549.5333333,1.403333333,20.258,19.20833333,3.533333333,-0.483333333
1968-10-01,4847.885,35.43333333,5.916666667,562.2666667,1.256666667,20.49333333,19.42133333,3.4,-0.146666667
1969-01-01,4923.76,35.86666667,6.566666667,571.8666667,1.2,20.71733333,19.60933333,3.4,-0.39
1969-04-01,4938.728,36.43333333,8.326666667,576.9,1.233333333,20.96533333,19.85933333,3.433333333,-1.973333333
1969-07-01,4971.349,36.93333333,8.983333333,580.5666667,1.06,21.20733333,20.102,3.566666667,-2.126666667
1969-10-01,4947.104,37.5,8.94,585.5666667,1.076666667,21.45633333,20.33433333,3.566666667,-1.643333333
1970-01-01,4939.759,38.1,8.573333333,587.7333333,1.39,21.69033333,20.57,4.166666667,-1.206666667
1970-04-01,4946.77,38.63333333,7.886666667,591.7,1.263333333,21.935,20.798,4.766666667,-0.166666667
1970-07-01,4992.357,39.03333333,6.706666667,605.0666667,1.95,22.17966667,21,5.166666667,0.756666667
1970-10-01,4938.857,39.6,5.566666667,621.3333333,2.423333333,22.491,21.27233333,5.833333333,1.286666667
1971-01-01,5072.996,39.93333333,3.856666667,641.2666667,2.513333333,22.77566667,21.47366667,5.933333333,2.16
1971-04-01,5100.447,40.3,4.566666667,666.0333333,2.36,23.03566667,21.71866667,5.9,1.683333333
1971-07-01,5142.422,40.7,5.476666667,685.8666667,2.22,23.25266667,21.932,6.033333333,1.01
1971-10-01,5154.547,41,4.75,704.4333333,2.523333333,23.38566667,22.068,5.933333333,1.14
1972-01-01,5249.337,41.33333333,3.546666667,725.6333333,2.2,23.60966667,22.30066667,5.766666667,2.493333333
1972-04-01,5368.485,41.6,4.3,743.8,2.08,23.76933333,22.42966667,5.7,1.843333333
1972-07-01,5419.184,41.93333333,4.743333333,768.8333333,1.88,23.948,22.62666667,5.566666667,1.55
1972-10-01,5509.926,42.36666667,5.146666667,794.3666667,1.62,24.09833333,22.81066667,5.366666667,1.23
1973-01-01,5646.286,43.03333333,6.536666667,813.2333333,1.363333333,24.26633333,23.086,4.933333333,0.066666667
1973-04-01,5707.755,43.93333333,7.816666667,826.6,1.286666667,24.59666667,23.52966667,4.933333333,-1.01
1973-07-01,5677.738,44.8,10.56,838.2,1.26,24.924,23.958,4.8,-3.353333333
1973-10-01,5731.632,45.93333333,9.996666667,849,1.683333333,25.27033333,24.44866667,4.766666667,-3.243333333
1974-01-01,5682.353,47.3,9.323333333,864.6666667,1.49,25.70433333,25.17566667,5.133333333,-2.27
1974-04-01,5695.859,48.56666667,11.25,875.1,1.52,26.34333333,25.88866667,5.2,-3.706666667
1974-07-01,5642.025,49.93333333,12.09,884.4666667,1.846666667,27.09633333,26.58733333,5.633333333,-4.126666667
1974-10-01,5620.126,51.46666667,9.346666667,898,2.9,27.75833333,27.263,6.6,-1.676666667
1975-01-01,5551.713,52.56666667,6.303333333,915.1333333,3.106666667,28.301,27.77633333,8.266666667,1.236666667
1975-04-01,5591.382,53.2,5.42,948.6666667,2.58,28.73166667,28.11666667,8.866666667,2.63
1975-07-01,5687.087,54.26666667,6.16,983.2333333,2.286666667,29.16333333,28.64333333,8.466666667,2.136666667
1975-10-01,5763.665,55.26666667,5.413333333,1006.966667,2.516666667,29.638,29.12366667,8.3,2.65
1976-01-01,5893.276,55.9,4.826666667,1038.966667,2.503333333,30.08866667,29.44433333,7.733333333,2.926666667
1976-04-01,5936.515,56.4,5.196666667,1070.166667,2.123333333,30.449,29.69066667,7.566666667,2.576666667
1976-07-01,5969.089,57.3,5.283333333,1098.6,1.89,30.92633333,30.14166667,7.733333333,2.446666667
1976-10-01,6012.356,58.13333333,4.873333333,1138.4,2.023333333,31.41,30.618,7.766666667,2.316666667
1977-01-01,6083.391,59.2,4.66,1177.1,1.753333333,31.93833333,31.17066667,7.5,2.693333333
1977-04-01,6201.659,60.23333333,5.156666667,1208.8,1.626666667,32.427,31.70366667,7.133333333,2.213333333
1977-07-01,6313.559,61.06666667,5.82,1236.633333,1.473333333,32.96633333,32.18066667,6.9,1.536666667
1977-10-01,6313.697,61.96666667,6.513333333,1262.233333,1.346666667,33.44533333,32.63833333,6.666666667,1.083333333
1978-01-01,6333.848,63.03333333,6.756666667,1285.8,1.186666667,33.967,33.17366667,6.333333333,1.253333333
1978-04-01,6578.605,64.46666667,7.283333333,1309.8,1.15,34.553,33.85466667,6,1.036666667
1978-07-01,6644.754,65.96666667,8.1,1334.2,1.01,35.14566667,34.44966667,6.033333333,0.39
1978-10-01,6734.069,67.5,9.583333333,1359.133333,0.966666667,35.777,35.10033333,5.9,-0.763333333
1979-01-01,6746.176,69.2,10.07333333,1379.066667,1.05,36.26566667,35.76166667,5.866666667,-0.966666667
1979-04-01,6753.389,71.4,10.18,1411.766667,1.28,37.06266667,36.73833333,5.7,-1.066666667
1979-07-01,6803.558,73.7,10.94666667,1445.166667,1.29,37.747,37.65033333,5.866666667,-1.843333333
1979-10-01,6820.572,76.03333333,13.57666667,1466.666667,1.37,38.53466667,38.56133333,5.966666667,-3.13
1980-01-01,6842.024,79.03333333,15.04666667,1492.366667,1.493333333,39.477,39.71933333,6.3,-3.06
1980-04-01,6701.046,81.7,12.68666667,1514.566667,2.88,40.36,40.691,7.333333333,-2.21
1980-07-01,6693.082,83.23333333,9.836666667,1560.333333,2.213333333,41.25866667,41.64266667,7.666666667,1.116666667
1980-10-01,6817.903,85.56666667,15.85333333,1593.466667,2.246666667,42.264,42.67333333,7.4,-3.43
1981-01-01,6951.495,87.93333333,16.57,1620.733333,2.286666667,43.20133333,43.78033333,7.433333333,-3.61
1981-04-01,6899.98,89.76666667,17.78,1664.566667,2.02,44.018,44.51466667,7.4,-4.03
1981-07-01,6982.609,92.26666667,17.57666667,1694.066667,1.63,44.82866667,45.24766667,7.4,-2.73
1981-10-01,6906.529,93.76666667,13.58666667,1737.8,2.596666667,45.62566667,45.94133333,8.233333333,0.5
1982-01-01,6799.233,94.6,14.22666667,1777.133333,2.74,46.294,46.52466667,8.833333333,0.066666667
1982-04-01,6830.251,95.96666667,14.51333333,1815.1,2.85,46.92033333,46.97266667,9.433333333,-0.583333333
1982-07-01,6804.139,97.63333333,11.00666667,1845.033333,3.133333333,47.67233333,47.71466667,9.9,2.11
1982-10-01,6806.857,97.93333333,9.286666667,1886.433333,3.723333333,48.336,48.24133333,10.66666667,1.38
1983-01-01,6896.561,98,8.653333333,1990.466667,3.27,48.97133333,48.63966667,10.36666667,1.91
1983-04-01,7053.5,99.13333333,8.803333333,2041.733333,2.706666667,49.346,49.08466667,10.13333333,1.74
1983-07-01,7194.504,100.1,9.46,2074,1.9,50.095,49.72966667,9.366666667,2.166666667
1983-10-01,7344.597,101.1,9.43,2111.666667,1.92,50.496,50.058,8.533333333,2.256666667
1984-01-01,7488.167,102.5333333,9.686666667,2157.2,1.8,51.00666667,50.599,7.866666667,2.256666667
1984-04-01,7617.547,103.5,10.55666667,2203.633333,1.5,51.603,51.089,7.433333333,2.643333333
1984-07-01,7690.985,104.4,11.39,2232.766667,1.843333333,52.08766667,51.48266667,7.433333333,1.476666667
1984-10-01,7754.117,105.3,9.266666667,2282.233333,1.863333333,52.45833333,51.80066667,7.3,2.476666667
1985-01-01,7829.26,106.2666667,8.476666667,2350.9,1.81,53.174,52.41166667,7.233333333,3.106666667
1985-04-01,7898.194,107.2333333,7.923333333,2392.5,2.206666667,53.63533333,52.837,7.3,2.89
1985-07-01,8018.809,107.9,7.9,2443.3,2.133333333,54.18633333,53.25133333,7.2,2.436666667
1985-10-01,8078.415,109,8.103333333,2479.3,2.216666667,54.57466667,53.62266667,7.033333333,1.656666667
1986-01-01,8153.829,109.5666667,7.826666667,2516.033333,2.46,55.16466667,54.00266667,7.033333333,0.73
1986-04-01,8190.552,109.0333333,6.92,2582.533333,2.67,55.54233333,53.94566667,7.166666667,0.683333333
1986-07-01,8268.935,109.7,6.206666667,2646.966667,2.873333333,55.924,54.23033333,6.966666667,1.1
1986-10-01,8313.338,110.4666667,6.266666667,2705.566667,2.83,56.378,54.55833333,6.833333333,0.996666667
1987-01-01,8375.274,111.8,6.22,2748.366667,2.466666667,56.73233333,55.072,6.6,0.973333333
1987-04-01,8465.63,113.0666667,6.65,2771.733333,2.013333333,57.28233333,55.60333333,6.266666667,1.693333333
1987-07-01,8539.075,114.2666667,6.843333333,2788.9,2.03,57.79466667,56.12933333,6,2.033333333
1987-10-01,8685.694,115.3333333,6.916666667,2820.033333,2.256666667,58.38233333,56.61466667,5.833333333,2.206666667
1988-01-01,8730.569,116.2333333,6.663333333,2869.5,2.336666667,58.94566667,57.062,5.7,1.753333333
1988-04-01,8845.28,117.5666667,7.156666667,2925.033333,2.07,59.66033333,57.69233333,5.466666667,1.753333333
1988-07-01,8897.107,119,7.983333333,2952.033333,1.973333333,60.34733333,58.403,5.466666667,1.116666667
1988-10-01,9015.661,120.3,8.47,2977.9,1.556666667,61.02166667,58.99366667,5.333333333,0.486666667
1989-01-01,9107.314,121.6666667,9.443333333,2994.533333,1.436666667,61.68766667,59.671,5.2,-0.236666667
1989-04-01,9176.827,123.6333333,9.726666667,3015.166667,1.593333333,62.24866667,60.475,5.233333333,-0.953333333
1989-07-01,9244.816,124.6,9.083333333,3073.1,1.78,62.712,60.83166667,5.233333333,-0.976666667
1989-10-01,9263.033,125.8666667,8.613333333,3133.3,1.906666667,63.286,61.31033333,5.366666667,-0.706666667
1990-01-01,9364.259,128.0333333,8.25,3178.7,1.673333333,64.015,62.199,5.3,0.173333333
1990-04-01,9398.243,129.3,8.243333333,3205.3,1.633333333,64.73,62.76333333,5.333333333,0.433333333
1990-07-01,9404.494,131.5333333,8.16,3240.366667,1.713333333,65.38433333,63.561,5.7,0.543333333
1990-10-01,9318.876,133.7666667,7.743333333,3264.566667,2.2,65.93333333,64.40166667,6.133333333,0.653333333
1991-01-01,9275.276,134.7666667,6.426666667,3304.7,2.186666667,66.51833333,64.74033333,6.6,1.59
